,Name,ID,Description,TypeTags,AbilityScoreImprovements,Size,BaseSpeed,TraitHandles,SubraceHandles,LanguageHandles,IconTexture
RACE_Human,Human,RACE_Human,Humans are the most adaptable and ambitious people among the common races Whatever drives them humans are the innovators the achievers and the pioneers of the worlds,"(GameplayTags=((TagName=""Race.Human"")))",,Medium,30,,"((DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_StandardHuman""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_VariantHuman""))","((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""))",
RACE_StandardHuman,Standard Human,RACE_StandardHuman,Humans are the most adaptable and ambitious people among the common races. Standard humans gain +1 to all ability scores.,"(GameplayTags=((TagName=""Race.Human""),(TagName=""Race.Subrace.StandardHuman"")))","((AbilityID=""ABL_Strength"",Bonus=1),(AbilityID=""ABL_Dexterity"",Bonus=1),(AbilityID=""ABL_Constitution"",Bonus=1),(AbilityID=""ABL_Intelligence"",Bonus=1),(AbilityID=""ABL_Wisdom"",Bonus=1),(AbilityID=""ABL_Charisma"",Bonus=1))",Medium,30,,,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""))",
RACE_VariantHuman,Variant Human,RACE_VariantHuman,"Some humans are more versatile than others. Instead of gaining +1 to all ability scores, variant humans gain +1 to two ability scores of their choice, one skill proficiency, and one feat.","(GameplayTags=((TagName=""Race.Human""),(TagName=""Race.Subrace.VariantHuman"")))","((AbilityID=""ABL_Custom"",Bonus=1),(AbilityID=""ABL_Custom"",Bonus=1))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SkillProficiency""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Feat""))",,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""))",
RACE_Dragonborn,Dragonborn,RACE_Dragonborn,Born of dragons as their name proclaims the dragonborn walk proudly through a world that greets them with fearful incomprehension,"(GameplayTags=((TagName=""Race.Dragonborn"")))","((AbilityID=""ABL_Strength"",Bonus=2),(AbilityID=""ABL_Charisma"",Bonus=1))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DraconicAncestry""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_BreathWeapon""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DamageResistance""))",,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Draconic""))",
RACE_Gnome,Gnome,RACE_Gnome,A gnomes energy and enthusiasm for living shines through every inch of his or her tiny body,"(GameplayTags=((TagName=""Race.Gnome"")))","((AbilityID=""ABL_Intelligence"",Bonus=2))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_GnomeCunning""))","((DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_ForestGnome""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_RockGnome""))","((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Gnomish""))",
RACE_ForestGnome,Forest Gnome,RACE_ForestGnome,As a forest gnome you have a natural knack for illusion and inherent quickness and stealth,"(GameplayTags=((TagName=""Race.Gnome""),(TagName=""Race.Subrace.ForestGnome"")))","((AbilityID=""ABL_Dexterity"",Bonus=1))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_NaturalIllusionist""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SpeakWithSmallBeasts""))",,,
RACE_RockGnome,Rock Gnome,RACE_RockGnome,As a rock gnome you have a natural inventiveness and hardiness beyond that of other gnomes,"(GameplayTags=((TagName=""Race.Gnome""),(TagName=""Race.Subrace.RockGnome"")))","((AbilityID=""ABL_Constitution"",Bonus=1))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_ArtificersLore""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Tinker""))",,,
RACE_HalfElf,Half-Elf,RACE_HalfElf,Walking in two worlds but truly belonging to neither half-elves combine what some say are the best qualities of their elf and human parents,"(GameplayTags=((TagName=""Race.HalfElf"")))","((AbilityID=""ABL_Charisma"",Bonus=2))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_FeyAncestry""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SkillVersatility""))",,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Elvish""))",
RACE_HalfOrc,Half-Orc,RACE_HalfOrc,Half-orcs grayish pigmentation sloping foreheads jutting jaws prominent teeth and towering builds make their orcish heritage plain for all to see,"(GameplayTags=((TagName=""Race.HalfOrc"")))","((AbilityID=""ABL_Strength"",Bonus=2),(AbilityID=""ABL_Constitution"",Bonus=1))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Menacing""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_RelentlessEndurance""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SavageAttacks""))",,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Orc""))",
RACE_Tiefling,Tiefling,RACE_Tiefling,To be greeted with stares and whispers to suffer violence and insult on the street to see mistrust and fear in every eye this is the lot of the tiefling,"(GameplayTags=((TagName=""Race.Tiefling"")))","((AbilityID=""ABL_Intelligence"",Bonus=1),(AbilityID=""ABL_Charisma"",Bonus=2))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_HellishResistance""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_InfernalLegacy""))",,"((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Infernal""))",
